participantlabel,r3score
6544fd23649b492ec6242947,17
654514db35400eff3daddcf5,17
6547a144c2b79e88bad24eab,17
65524ce2443c9df5aba5960c,9
6557bcf605279f9c3e10c6cf,11
655d867ce204d4f63c3533df,19
655f7eb9ae6c61138f8bac86,17
655fa05b1303f59972ea6555,17
656d24ca2d90244628b2960e,17
656de94bf069f0a1446f47c5,8
657867e466a237b839df006a,12
657fa05267050fd8b627f0bc,17
6596493da160875dd60ca0b9,13
6599760dff590951e558d1fc,16
65998003547f20229a90f812,24
659ab50980820849a02c0b5f,8
659d52af923c07a8e1aac79a,10
65a5418510f8dd6605fd790d,16
65ae2baa95efab88c481edc3,16
65ae75b0066b2d1c8156bae2,17
65aea6a1b96c1e3bfcdb2181,4
65b902363d7d5bf26cb8c876,18
65bf9aeb592e888df327d648,10
65bfa2967c731d263eb29732,22
65c1158c42ae46b4f170955f,22
65c14eb17b368ee1ed773e03,9
65c2ae40c10cbd17296e6914,11
65c406265066ed6bfd836579,9
65ca7ce3db12aa7ea5156a0c,8
65cb90ace80f886a058024ce,12
65cdb896f4e7ef9789379659,28
65cead31ddb7be095dddd3ee,20
65d506eb63cfbf1718c20879,5
65df6496db01100e362d8898,17
65e4d77aff8f62cfcb72fe4c,10
65e7795d1685521fd01bd49a,8
65e990a5e84fc2e731294e76,16
65ea41d8c31c744b580de3ee,20
65edd3b5dab4b33aaf29cbd0,11
65f284445bd9d57a7c6c634f,10
65f780dfe4aa3357ba290914,13
65f860a1ab03181926bce465,9
65f8dbfcf51858f174eb7caa,13
65fb799d1bb244733095cf20,5
65fc9f54bf0a6174674f0851,8
6601e63cd1d87faee4745a2b,17
66042d8fc8f0421abb8ecf06,4
66043087e6f547531945bb3f,17
66045682d629a940764580ed,16
66058651f9c5fb6a8dba7633,16
6606ce9c3523446ed5777300,10
6609a35ed745fef53c0c1034,16
660d96a4b0b9a45fb6fcd2e3,17
6610ca6d1c7fe8e3861d0de2,10
6610feb47a58c90ed439d79d,8
661149a91b7fad3a3d2caf0c,11
66116b936273edeae82eb481,9
66117731dd2d071debd435a4,11
661566cc7a792f3f30c15980,12
66199b3cd796398a2ba74e05,18
661d4230dd564f5f2a226612,16
66293a5710fb93854b181793,10
662c299e6db88649ff13ccae,16
662d641b6cddce705ad8558e,14
66300ebc7bdf6f53198b7eba,20
66306ac39d18c5aad9685a9e,10
663111e4283e7281c63fc949,10
6631d770e613584c0d5cfdba,14
66324dc7cb5ab43fc8b19566,9
66337d1de3bea5025f371c0b,11
663388f6d4e404ce37e9b350,16
663401ce98e411fda23aede9,9
6634e0e2300e0d377e2cf876,11
6634e6202da0719ae4ec6455,11
66351c39f862c014cfa831c4,12
663631e9a98cfc7ea17bbde6,9
6638068d9ab49383d1fe00ae,16
6639038205f5175bb2fefbe4,16
663cd0ab9a13d177b358f8f1,12
663dff19b292e4e2c5c11a1b,11
663e1af35c1eafe0c29b4fe5,9
663ea705b761e95caebf67eb,0
664003b962a847c71db3ebb0,9
6641059cdec71f7b7d5a5e2b,20
664212577c09653c94741aab,8
6642b776b5dea9fec375aa5c,17
66439d24bf5f2505d7929c12,21
6643b6fd551de255d4e917d3,16
664413a1fae91cf971a208f7,11
6644ba9c868c5e3ef67f56db,18
66463e116fc8d8d5ad34e273,10
66465afcd7be26227a70ea74,11
66479cbe39361370f0d85484,16
664c99742f78f6fad5d7f7e9,10
664d2e40c74692f394c62ba5,16
664dc01c088c4acb7473a6e5,16
664f41aa9da79278f9638bd5,10
664f7217d63b2db66feb4333,9
6650ac1fae8eede91e78d6ab,12
6650f47bc2ef800182aa05f8,8
6652bf7eba7a8a81e1d1679b,16
66535915cbec1d69819d3933,19
66537b0010ca11939058e52b,6
6655e085b2b827c02d469855,18
6655f13e04490671e36a8dcf,18
66562875b665d8e2b1b6fc66,19
665722639f7a09a8815bf198,10
66572ce80b83b5ae5cb07a0c,11
665762fdab6df18f5032505b,16
6657f15cef4ca4b8c204a8fd,8
6658b2da7affbe300577b732,20
6658b2f9550b0dbb2338592e,20
6658b5ca5f6a7ef6d4527b29,25
6658c5911429bc1ab0372a89,16
6658d02b830a00e979619fb8,0
6658d06ebb57e6360147fbd6,14
6658d27edd60f6a0b5dcb504,20
6658d66a5e45cac0aaeb54de,6
66598e28a133d3735cdc506f,3
6659cb22b8e889fe11ae56d2,16
6659d150478b9115096338d1,24
6659f601d56e7e7f20ceb67d,16
6659f77ee4fd69fa455cc86a,18
665a0857a0c87db18a268c58,25
665a1158d75699007466a154,4
665e750c97f12272bd9ab99e,17
