participantlabel,r3score
5dde8fba82f458000c8c7c75,15
5ddee2c82e4a05e53854a5d4,16
5de21543762dc22548c937b3,10
5de398993cf27939a25abc5f,20
5de7ad0ca1a3fb7217ec3365,11
5de831cad4995d000c5fb540,0
5de83840271a1c7b0fb7ec16,9
5dee11c6d35cc34acae7c301,13
5df14a70c0b81f06aea3c380,20
5e0571b7e297d5fa932cf415,13
5e099e7f76c03b255e2b61da,12
5e0a8de6b6385332d7cae588,17
5e0f69380fb798000a199566,16
5e0fa2ede5abae000bd43bda,25
5e13ad514c81b2a01ae4aa9f,6
5e1465b599b282a6feec000b,13
5e15d85bd62abeba42692ed3,12
5e170b9ad51cf301722d91d2,11
5e1829a4388ec910efd56602,16
5e182f9a2bf95110ffac1ed9,16
5e1b2b3e4a955b350b1e0a63,16
5e1f2837d95637258ebc9ace,9
5e222506c5b5a208addb7155,12
5e2881eaa9af590560d04047,10
5e28b99e1aacba092acd8cbd,20
5e2f5b28129198070e2996db,8
5e32db8f239ceb2a8e57d928,18
5e372dfecb3c096c83115563,11
5e38777a87243b095c67543b,13
5e38e49a8445881060c60eaf,15
5e399832a6df461b2f4db341,16
5e3a9e0dfbce8a296258c297,3
5e3d33b27525e7117bd31778,16
5e3d91a08dfa83000c9f4d36,24
5e421b4bc503670be09335c7,17
5e46ff334267181cd82562e0,15
5e4761e624b17f2239a6473a,13
5e47c3608b051d26181ccf1c,9
5e493133b4bc203a048f8ce9,25
5e4db97c679288216771f059,16
5e4eb1de8e6da203e5b070ca,6
5e53eb33ef87a902f39b1b77,24
5e55b355bf80730d4682c2e1,9
5e57e67bb836e0000d222062,9
5e62b7646cf0bf04667c8683,18
5e62dfa2819b9d079c91b6d2,17
5e64f63fe8177d2669776c08,10
5e695632d40a492070942196,8
5e6977731ff38b22e8654bc4,10
5e69987e0873d600084bc920,16
5e6a6d1f833f2d021f683ea7,21
5e6a923f59a3bd04d5edc606,18
5e6b11a7704ee10c3d5e203a,10
5e718c86686c0c0b7759f340,24
5e740451f1e6520f51f3eece,19
5e789ca247422a42289e33d0,8
5e79448b2645050ebe52051c,10
5e7a2ccd69a7770604dfb352,19
5e7b804f9379140478c688da,21
5e7ca836a60b642ec70880b1,20
5e7e1679f8a96f4be83e51e4,14
5e814f98193c1983e819818f,10
5e825b5b469f7498f9b9f579,6
5e8601d90126b207e8c7a2aa,13
5e904f36cc3d6c355bbf48fa,13
5e917b152952914a6d3043c2,9
5e9409cd1dabe7246810c3b6,5
5e94acdc3d1b5780b00d12ff,6
5e98e245aa25c6120f522a40,20
5e99c8efae829502a02f6fc8,17
5e9c7d2d4473501a1a826daa,18
5e9f0bc126557006ea49d1f4,16
5e9f383061281c0c4c598dc9,18
5e9f6d2a0f600f0dc07ea1f8,17
5e9ffa9ee172201b04f1a4c6,8
5ea015577dd57200089eb811,4
5ea051f6ef1e88000bbae035,11
5ea057b821f4e400081b71a7,22
5ea057dd9d15f5000a174d3c,17
5ea060b71ce81301340a6b64,18
5ea0627f31802801d5675c08,2
5ea196f089935b04d2ee69d9,8
